Title,Occurence,Date,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
Memorial Day,Last Monday in May,5/28/2018,5/28/2018,5,28,2018,2
Independence Day,Annual,7/4/2018,7/4/2018,7,4,2018,4
Labor Day,First Monday in Sept,9/3/2018,9/3/2018,9,3,2018,2
Columbus Day,Second Monday in Oct,10/8/2018,10/8/2018,10,8,2018,2
Veterans Day,Annual,11/11/2018,11/12/2018,11,11,2018,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2018,11/22/2018,11,22,2018,5
Christmas Day,Annual,12/25/2018,12/25/2018,12,25,2018,3
New Year's Day,Year Start,1/1/2019,1/1/2019,1,1,2019,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2019,1/21/2019,1,21,2019,2
Washington's Birthday,Third Monday in Feb,2/18/2019,2/18/2019,2,18,2019,2
Memorial Day,Last Monday in May,5/27/2019,5/27/2019,5,27,2019,2
Independence Day,Annual,7/4/2019,7/4/2019,7,4,2019,5
Labor Day,First Monday in Sept,9/2/2019,9/2/2019,9,2,2019,2
Columbus Day,Second Monday in Oct,10/14/2019,10/14/2019,10,14,2019,2
Veterans Day,Annual,11/11/2019,11/11/2019,11,11,2019,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2019,11/28/2019,11,28,2019,5
Christmas Day,Annual,12/25/2019,12/25/2019,12,25,2019,4
New Year's Day,Year Start,1/1/2020,1/1/2020,1,1,2020,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2020,1/20/2020,1,20,2020,2
Washington's Birthday,Third Monday in Feb,2/17/2020,2/17/2020,2,17,2020,2
Memorial Day,Last Monday in May,5/25/2020,5/25/2020,5,25,2020,2
Independence Day,Annual,7/4/2020,7/3/2020,7,4,2020,7
Labor Day,First Monday in Sept,9/7/2020,9/7/2020,9,7,2020,2
Columbus Day,Second Monday in Oct,10/12/2020,10/12/2020,10,12,2020,2
Veterans Day,Annual,11/11/2020,11/11/2020,11,11,2020,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2020,11/26/2020,11,26,2020,5
Christmas Day,Annual,12/25/2020,12/25/2020,12,25,2020,6
New Year's Day,Year Start,1/1/2021,1/1/2021,1,1,2021,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2021,1/18/2021,1,18,2021,2
Washington's Birthday,Third Monday in Feb,2/15/2021,2/15/2021,2,15,2021,2
Memorial Day,Last Monday in May,5/24/2021,5/24/2021,5,24,2021,2
Juneteenth National Independence Day,Annual,6/19/2021,6/18/2021,6,19,2021,7
Independence Day,Annual,7/4/2021,7/5/2021,7,4,2021,1
Labor Day,First Monday in Sept,9/6/2021,9/6/2021,9,6,2021,2
Columbus Day,Second Monday in Oct,10/11/2021,10/11/2021,10,11,2021,2
Veterans Day,Annual,11/11/2021,11/11/2021,11,11,2021,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2021,11/25/2021,11,25,2021,5
Christmas Day,Annual,12/25/2021,12/24/2021,12,25,2021,7
New Year's Day,Year Start,1/1/2022,12/31/2021,1,1,2022,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2022,1/17/2022,1,17,2022,2
Washington's Birthday,Third Monday in Feb,2/21/2022,2/21/2022,2,21,2022,2
Memorial Day,Last Monday in May,5/23/2022,5/23/2022,5,23,2022,2
Juneteenth National Independence Day,Annual,6/19/2022,6/20/2022,6,19,2022,1
Independence Day,Annual,7/4/2022,7/4/2022,7,4,2022,2
Labor Day,First Monday in Sept,9/5/2022,9/5/2022,9,5,2022,2
Columbus Day,Second Monday in Oct,10/10/2022,10/10/2022,10,10,2022,2
Veterans Day,Annual,11/11/2022,11/11/2022,11,11,2022,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2022,11/24/2022,11,24,2022,5
Christmas Day,Annual,12/25/2022,12/26/2022,12,25,2022,1
New Year's Day,Year Start,1/1/2023,1/2/2023,1,1,2023,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2023,1/16/2023,1,16,2023,2
Washington's Birthday,Third Monday in Feb,2/20/2023,2/20/2023,2,20,2023,2
Memorial Day,Last Monday in May,5/22/2023,5/22/2023,5,22,2023,2
Juneteenth National Independence Day,Annual,6/19/2023,6/19/2023,6,19,2023,2
Independence Day,Annual,7/4/2023,7/4/2023,7,4,2023,3
