iter	Passed	Remaining
586	3041	2139
587	3046	2134
588	3050	2128
589	3055	2123
590	3060	2117
591	3065	2112
592	3071	2107
593	3075	2102
594	3080	2096
595	3085	2091
596	3091	2086
597	3095	2081
598	3101	2076
599	3106	2071
600	3112	2066
601	3118	2061
602	3123	2056
603	3128	2051
604	3134	2046
605	3140	2041
606	3145	2036
607	3150	2031
608	3156	2026
609	3161	2021
610	3168	2016
611	3173	2011
612	3178	2006
613	3184	2002
614	3190	1997
615	3195	1991
616	3200	1986
617	3205	1981
618	3210	1975
619	3215	1970
620	3219	1965
621	3224	1959
622	3230	1954
623	3235	1949
624	3239	1943
625	3245	1938
626	3249	1933
627	3254	1927
628	3259	1922
629	3265	1917
630	3270	1912
631	3275	1907
632	3281	1902
633	3286	1896
634	3290	1891
635	3296	1886
636	3301	1881
637	3306	1875
638	3311	1870
639	3316	1865
640	3322	1860
641	3327	1855
642	3332	1850
643	3337	1844
644	3342	1839
645	3348	1834
646	3353	1829
647	3358	1824
648	3364	1819
649	3370	1814
650	3376	1809
651	3383	1805
652	3389	1801
653	3396	1797
654	3402	1792
655	3411	1788
656	3418	1784
657	3424	1780
658	3432	1776
659	3438	1771
660	3445	1767
661	3451	1762
662	3458	1757
663	3464	1753
664	3470	1748
665	3476	1743
666	3482	1738
667	3487	1733
668	3493	1728
669	3498	1723
670	3503	1717
671	3508	1712
672	3513	1707
673	3518	1702
674	3525	1697
675	3530	1692
676	3534	1686
677	3540	1681
678	3546	1676
679	3550	1670
680	3556	1665
681	3561	1660
682	3566	1655
683	3571	1650
684	3576	1644
685	3580	1639
686	3585	1633
687	3590	1628
688	3595	1622
689	3600	1617
690	3605	1612
691	3609	1606
692	3615	1601
693	3620	1596
694	3625	1591
695	3630	1585
696	3635	1580
697	3640	1575
698	3645	1569
699	3650	1564
700	3655	1559
701	3659	1553
702	3664	1548
703	3669	1543
704	3674	1537
705	3680	1532
706	3685	1527
707	3690	1522
708	3695	1516
709	3701	1511
710	3707	1506
711	3712	1501
712	3717	1496
713	3721	1490
714	3727	1485
715	3732	1480
716	3736	1474
717	3742	1469
718	3746	1464
719	3751	1458
720	3757	1453
721	3761	1448
722	3766	1443
723	3771	1437
724	3776	1432
725	3781	1427
726	3785	1421
727	3790	1416
728	3795	1410
729	3799	1405
730	3805	1400
731	3810	1395
732	3814	1389
733	3819	1384
734	3824	1378
735	3829	1373
736	3833	1368
737	3838	1362
738	3843	1357
739	3848	1352
740	3853	1346
741	3859	1341
742	3863	1336
743	3868	1331
744	3873	1325
745	3879	1320
746	3883	1315
747	3888	1310
748	3893	1304
749	3898	1299
750	3904	1294
751	3910	1289
752	3914	1284
753	3920	1279
754	3925	1273
755	3929	1268
756	3935	1263
757	3940	1258
758	3945	1252
759	3951	1247
760	3955	1242
761	3960	1236
762	3965	1231
763	3971	1226
764	3975	1221
765	3980	1216
766	3986	1211
767	3991	1205
768	3996	1200
769	4002	1195
770	4006	1190
771	4011	1184
772	4017	1179
773	4022	1174
774	4026	1169
775	4032	1163
776	4036	1158
777	4041	1153
778	4047	1148
779	4053	1143
780	4057	1137
781	4062	1132
782	4068	1127
783	4072	1122
784	4077	1116
785	4082	1111
786	4087	1106
787	4092	1100
788	4096	1095
789	4101	1090
790	4106	1084
791	4111	1079
792	4115	1074
793	4120	1068
794	4124	1063
795	4129	1058
796	4133	1052
797	4137	1047
798	4142	1042
799	4148	1037
800	4153	1031
801	4158	1026
802	4163	1021
803	4168	1016
804	4172	1010
805	4178	1005
806	4182	1000
807	4187	995
808	4192	989
809	4197	984
810	4202	979
811	4208	974
812	4213	969
813	4217	963
814	4222	958
815	4226	953
816	4231	947
817	4235	942
818	4241	937
819	4246	932
820	4250	926
821	4256	921
822	4261	916
823	4266	911
824	4271	906
825	4276	900
826	4281	895
827	4286	890
828	4292	885
829	4297	880
830	4302	875
831	4307	869
832	4313	864
833	4318	859
834	4324	854
835	4328	849
836	4333	843
837	4338	838
838	4343	833
839	4349	828
840	4355	823
841	4360	818
842	4366	813
843	4372	808
844	4378	803
845	4383	797
846	4389	792
847	4395	787
848	4400	782
849	4406	777
850	4412	772
851	4416	767
852	4422	762
853	4427	756
854	4432	751
855	4438	746
856	4444	741
857	4449	736
858	4455	731
859	4460	726
860	4464	720
861	4470	715
862	4475	710
863	4480	705
864	4486	700
865	4490	694
866	4495	689
867	4500	684
868	4506	679
869	4511	674
870	4516	668
871	4521	663
872	4526	658
873	4530	653
874	4536	648
875	4541	642
876	4546	637
877	4551	632
878	4557	627
879	4561	622
880	4567	617
881	4573	611
882	4577	606
883	4583	601
884	4588	596
885	4593	591
886	4599	585
887	4604	580
888	4609	575
889	4614	570
890	4619	565
891	4624	559
892	4629	554
893	4634	549
894	4639	544
895	4644	539
896	4650	533
897	4655	528
898	4660	523
899	4665	518
900	4670	513
901	4675	507
902	4680	502
903	4684	497
904	4689	492
905	4694	487
906	4698	481
907	4703	476
908	4708	471
909	4714	466
910	4718	460
911	4723	455
912	4728	450
913	4733	445
914	4738	440
915	4744	435
916	4748	429
917	4753	424
918	4758	419
919	4763	414
920	4769	409
921	4773	403
922	4778	398
923	4783	393
924	4787	388
925	4792	383
926	4797	377
927	4802	372
928	4807	367
929	4812	362
930	4816	356
931	4821	351
932	4826	346
933	4831	341
934	4835	336
935	4841	331
936	4845	325
937	4850	320
938	4855	315
939	4860	310
940	4865	305
941	4870	299
942	4875	294
943	4879	289
944	4885	284
945	4890	279
946	4895	273
947	4900	268
948	4907	263
949	4912	258
950	4917	253
951	4923	248
952	4928	243
953	4933	237
954	4938	232
955	4943	227
956	4948	222
957	4954	217
958	4959	212
959	4964	206
960	4970	201
961	4975	196
962	4979	191
963	4985	186
964	4990	180
965	4994	175
966	4999	170
967	5005	165
968	5010	160
969	5015	155
970	5020	149
971	5025	144
972	5030	139
973	5035	134
974	5040	129
975	5045	124
976	5056	119
977	5068	114
978	5080	108
979	5087	103
980	5102	98
981	5114	93
982	5126	88
983	5137	83
984	5148	78
985	5165	73
986	5174	68
987	5181	62
988	5190	57
989	5197	52
990	5205	47
991	5212	42
992	5221	36
993	5231	31
994	5238	26
995	5250	21
996	5258	15
997	5264	10
998	5272	5
999	5279	0
